size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
18019,10000,1,0,0.082895,0.082791,0.082825,0.08279,0.08292,0.08286,0.012771,0.0124,0.012588,0.01243,0.012343,0.012458,0,0,0,0,0,0,100
18019,10000,1,0,0.047116,0.04714,0.047164,0.047152,0.047143,0.047108,0.012515,0.012351,0.012342,0.012459,0.012496,0.012343,0,0,0,0,0,0,50
18019,10000,1,1,0.083164,0.083158,0.08318,0.083163,0.083166,0.083161,0.009918,0.009898,0.009752,0.009706,0.009764,0.009781,0,0,0,0,0,0,100
18019,10000,1,1,0.046599,0.046548,0.046581,0.046577,0.046609,0.046623,0.009756,0.00974,0.009819,0.009927,0.009827,0.010184,0,0,0,0,0,0,50
18019,10000,2,0,0.082728,0.082698,0.082767,0.082699,0.082732,0.08271,0.013634,0.013641,0.013616,0.013647,0.01368,0.013654,0,0,0,0,0,0,100
18019,10000,2,0,0.047824,0.047736,0.047777,0.048022,0.047764,0.047742,0.013625,0.013635,0.01375,0.013689,0.013627,0.013863,0,0,0,0,0,0,50
18019,10000,2,1,0.082067,0.082061,0.082043,0.082061,0.0821,0.082038,0.013241,0.013222,0.013229,0.013258,0.013242,0.013256,0,0,0,0,0,0,100
18019,10000,2,1,0.04757,0.04757,0.047538,0.047584,0.047527,0.047572,0.013285,0.013295,0.013237,0.01391,0.013968,0.013266,0,0,0,0,0,0,50
20271,10000,0,0,0.092823,0.092824,0.09279,0.092852,0.092855,0.092881,0.015355,0.015344,0.015387,0.015374,0.015327,0.015294,0,0,0,0,0,0,100
20271,10000,0,0,0.053145,0.053165,0.053169,0.053186,0.053165,0.053235,0.015601,0.015286,0.015311,0.015334,0.015301,0.015732,0,0,0,0,0,0,50
20271,10000,0,1,0.093262,0.093222,0.093292,0.093276,0.093228,0.093256,0.014915,0.014907,0.014901,0.014916,0.014949,0.014916,0,0,0,0,0,0,100
20271,10000,0,1,0.053009,0.052926,0.052953,0.052975,0.052946,0.052974,0.015349,0.014913,0.014924,0.014875,0.014907,0.014882,0,0,0,0,0,0,50
20271,10000,1,0,0.093026,0.09301,0.09311,0.093076,0.093054,0.093139,0.013868,0.013866,0.014072,0.013848,0.013906,0.013865,0,0,0,0,0,0,100
20271,10000,1,0,0.051912,0.051869,0.051892,0.051902,0.051911,0.051889,0.013931,0.013928,0.013944,0.013922,0.013905,0.013869,0,0,0,0,0,0,50
20271,10000,1,1,0.092181,0.092195,0.09224,0.092103,0.092176,0.092114,0.011023,0.010942,0.011022,0.011412,0.011838,0.010927,0,0,0,0,0,0,100
20271,10000,1,1,0.052518,0.052431,0.052426,0.052432,0.052445,0.052445,0.010913,0.011095,0.010949,0.010996,0.011029,0.010976,0,0,0,0,0,0,50
