size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
22804,10000,0,1,0.080928,0.079649,0.084592,0.079985,0.084021,0.082314,0.016821,0.016781,0.016782,0.016754,0.016801,0.016787,0,0,0,0,0,0,100
22804,10000,0,1,0.046008,0.046339,0.044558,0.04494,0.045336,0.046502,0.016733,0.016938,0.016796,0.016826,0.016783,0.01675,0,0,0,0,0,0,50
22804,10000,1,0,0.079561,0.08135,0.079197,0.078689,0.081541,0.078414,0.015612,0.015628,0.015633,0.015673,0.015662,0.015654,0,0,0,0,0,0,100
22804,10000,1,0,0.045432,0.04418,0.045021,0.044673,0.044072,0.043559,0.015605,0.015618,0.015651,0.01564,0.015669,0.015753,0,0,0,0,0,0,50
22804,10000,1,1,0.079412,0.078854,0.082523,0.078363,0.080066,0.081956,0.012285,0.012296,0.012294,0.012284,0.012312,0.012359,0,0,0,0,0,0,100
22804,10000,1,1,0.044669,0.043839,0.045348,0.045087,0.044893,0.045422,0.012279,0.012433,0.012343,0.01242,0.012293,0.012378,0,0,0,0,0,0,50
22804,10000,2,0,0.078653,0.083131,0.080242,0.082673,0.081197,0.08045,0.017259,0.017493,0.01726,0.017241,0.017355,0.01719,0,0,0,0,0,0,100
22804,10000,2,0,0.045225,0.044903,0.046325,0.046543,0.046017,0.045828,0.017292,0.017244,0.017186,0.017266,0.01758,0.017204,0,0,0,0,0,0,50
22804,10000,2,1,0.081077,0.079768,0.081958,0.07885,0.078817,0.079916,0.016748,0.01674,0.016733,0.016735,0.01671,0.016699,0,0,0,0,0,0,100
22804,10000,2,1,0.046649,0.046537,0.046775,0.045771,0.04806,0.047016,0.016714,0.016711,0.016768,0.01679,0.01677,0.0167,0,0,0,0,0,0,50
25654,10000,0,0,0.090882,0.092523,0.093981,0.092888,0.091827,0.092009,0.019359,0.019422,0.019404,0.019415,0.019355,0.019332,0,0,0,0,0,0,100
25654,10000,0,0,0.050749,0.050587,0.049845,0.049775,0.052513,0.049906,0.019389,0.019351,0.019344,0.019371,0.019385,0.019324,0,0,0,0,0,0,50
25654,10000,0,1,0.088868,0.08973,0.091843,0.09074,0.090822,0.091705,0.018875,0.018834,0.018863,0.018925,0.018821,0.018828,0,0,0,0,0,0,100
25654,10000,0,1,0.050555,0.049036,0.050329,0.05,0.049907,0.050977,0.018832,0.018798,0.019173,0.01885,0.018824,0.018838,0,0,0,0,0,0,50
25654,10000,1,0,0.090709,0.089436,0.093052,0.091523,0.091866,0.088709,0.017637,0.017611,0.017581,0.017643,0.017708,0.017564,0,0,0,0,0,0,100
25654,10000,1,0,0.051396,0.050653,0.051919,0.051276,0.050392,0.051143,0.017612,0.017654,0.01771,0.017567,0.017556,0.017602,0,0,0,0,0,0,50
25654,10000,1,1,0.088933,0.09315,0.089352,0.089937,0.090687,0.089206,0.013856,0.013829,0.013839,0.013847,0.013862,0.013895,0,0,0,0,0,0,100
25654,10000,1,1,0.05073,0.049449,0.048813,0.049659,0.049274,0.048824,0.013967,0.013795,0.013992,0.013817,0.013859,0.013845,0,0,0,0,0,0,50
25654,10000,2,0,0.092102,0.091747,0.089295,0.091231,0.093919,0.091735,0.019344,0.019552,0.019372,0.019404,0.019347,0.01939,0,0,0,0,0,0,100
25654,10000,2,0,0.049898,0.050883,0.05242,0.049673,0.051152,0.049588,0.019385,0.019371,0.019648,0.019711,0.019571,0.019376,0,0,0,0,0,0,50
25654,10000,2,1,0.08898,0.088773,0.089657,0.089721,0.087974,0.091329,0.019123,0.018809,0.018876,0.01878,0.018793,0.018763,0,0,0,0,0,0,100
25654,10000,2,1,0.050683,0.051223,0.049583,0.04999,0.049556,0.049917,0.0188,0.018791,0.018827,0.01879,0.018834,0.018791,0,0,0,0,0,0,50
28860,10000,0,0,0.104794,0.102908,0.104389,0.103322,0.102988,0.103819,0.021716,0.021774,0.021784,0.021762,0.021728,0.021754,0,0,0,0,0,0,100
28860,10000,0,0,0.056741,0.056335,0.056249,0.056481,0.055811,0.057329,0.021761,0.021756,0.021719,0.021714,0.021919,0.021707,0,0,0,0,0,0,50
28860,10000,0,1,0.103792,0.104662,0.103481,0.10215,0.106303,0.105687,0.021242,0.021177,0.02115,0.02118,0.021183,0.022991,0,0,0,0,0,0,100
28860,10000,0,1,0.05615,0.055806,0.055074,0.05588,0.054998,0.056396,0.021225,0.021145,0.021296,0.021373,0.021588,0.021432,0,0,0,0,0,0,50
28860,10000,1,0,0.104304,0.106216,0.103292,0.106134,0.103582,0.103213,0.020092,0.01976,0.019924,0.019756,0.019754,0.01995,0,0,0,0,0,0,100
28860,10000,1,0,0.056466,0.05579,0.056828,0.057014,0.056094,0.05794,0.019968,0.019926,0.020049,0.019764,0.019967,0.019741,0,0,0,0,0,0,50
28860,10000,1,1,0.102825,0.104824,0.103496,0.103762,0.103564,0.102246,0.015593,0.015648,0.015765,0.015529,0.015511,0.01549,0,0,0,0,0,0,100
28860,10000,1,1,0.05793,0.056536,0.058396,0.05628,0.057471,0.057273,0.015651,0.015637,0.015566,0.0157,0.01553,0.015652,0,0,0,0,0,0,50
28860,10000,2,0,0.100331,0.105716,0.102591,0.100859,0.101383,0.103467,0.021751,0.022877,0.02178,0.021773,0.021756,0.021729,0,0,0,0,0,0,100
28860,10000,2,0,0.05621,0.056754,0.056166,0.05654,0.056597,0.056266,0.021757,0.021766,0.021728,0.021719,0.021802,0.021808,0,0,0,0,0,0,50
28860,10000,2,1,0.101262,0.101549,0.101618,0.101115,0.103838,0.10378,0.021078,0.022105,0.021092,0.021162,0.021083,0.021103,0,0,0,0,0,0,100
28860,10000,2,1,0.05692,0.055748,0.057275,0.055781,0.054547,0.055214,0.021113,0.021119,0.021108,0.02113,0.021131,0.021114,0,0,0,0,0,0,50
32467,10000,0,0,0.120012,0.1191,0.117544,0.121869,0.119155,0.114588,0.024423,0.024414,0.024462,0.024438,0.024406,0.02447,0,0,0,0,0,0,100
32467,10000,0,0,0.062211,0.063182,0.062791,0.06272,0.062358,0.063144,0.024422,0.02486,0.024442,0.024442,0.024423,0.0245,0,0,0,0,0,0,50
32467,10000,0,1,0.119691,0.11684,0.118361,0.114279,0.115016,0.115264,0.023826,0.023752,0.023749,0.023803,0.023791,0.02388,0,0,0,0,0,0,100
32467,10000,0,1,0.062469,0.0625,0.062439,0.06173,0.062135,0.063543,0.02392,0.023833,0.023823,0.023851,0.023718,0.023753,0,0,0,0,0,0,50
32467,10000,1,0,0.117186,0.118452,0.115537,0.115813,0.116099,0.116116,0.022373,0.022193,0.022288,0.022232,0.022292,0.022183,0,0,0,0,0,0,100
32467,10000,1,0,0.061601,0.061141,0.061684,0.062259,0.062241,0.062079,0.022219,0.022387,0.02236,0.022503,0.022173,0.022171,0,0,0,0,0,0,50
32467,10000,1,1,0.11521,0.116266,0.117152,0.118015,0.115803,0.113545,0.017554,0.01747,0.017552,0.017483,0.017469,0.017774,0,0,0,0,0,0,100
