size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage,
16017,10000,0,1,0.072845,0.072885,0.072863,0.072852,0.072864,0.072883,0.011716,0.011706,0.01173,0.011695,0.011848,0.011835,0,0,0,0,0,0,100
16017,10000,0,1,0.042859,0.042959,0.042869,0.042908,0.042887,0.042868,0.01172,0.01169,0.011738,0.01171,0.01169,0.011708,0,0,0,0,0,0,50
16017,10000,1,0,0.07322,0.073244,0.073262,0.073254,0.073221,0.07324,0.010892,0.010884,0.010947,0.010878,0.011048,0.010887,0,0,0,0,0,0,100
16017,10000,1,0,0.043008,0.043033,0.043028,0.043009,0.043027,0.043012,0.010872,0.010889,0.010988,0.010912,0.010829,0.010947,0,0,0,0,0,0,50
16017,10000,1,1,0.073101,0.073119,0.073104,0.073086,0.073157,0.073082,0.00868,0.008626,0.008553,0.00878,0.008641,0.008636,0,0,0,0,0,0,100
16017,10000,1,1,0.041882,0.041876,0.041916,0.041904,0.041872,0.041843,0.008578,0.008663,0.008582,0.008586,0.008622,0.008575,0,0,0,0,0,0,50
16017,10000,2,0,0.073234,0.073253,0.073267,0.073238,0.07327,0.073292,0.012056,0.012062,0.012029,0.012018,0.012046,0.012076,0,0,0,0,0,0,100
16017,10000,2,0,0.042199,0.042208,0.042194,0.042167,0.042154,0.042199,0.012042,0.012057,0.012038,0.012052,0.012033,0.012087,0,0,0,0,0,0,50
16017,10000,2,1,0.073667,0.07363,0.073614,0.073682,0.073633,0.073622,0.011724,0.011692,0.011706,0.011681,0.011678,0.01167,0,0,0,0,0,0,100
16017,10000,2,1,0.043431,0.043444,0.043445,0.043423,0.043431,0.043442,0.011718,0.011711,0.011672,0.01168,0.011779,0.011661,0,0,0,0,0,0,50
18019,10000,0,0,0.082723,0.082739,0.082686,0.082711,0.082688,0.08268,0.013649,0.013689,0.013605,0.013623,0.013626,0.013827,0,0,0,0,0,0,100
18019,10000,0,0,0.046828,0.046846,0.046786,0.0468,0.04682,0.046831,0.013657,0.013628,0.013641,0.013619,0.01364,0.01361,0,0,0,0,0,0,50
18019,10000,0,1,0.083097,0.083029,0.083057,0.083032,0.083025,0.083033,0.013309,0.01322,0.013236,0.013247,0.013288,0.013272,0,0,0,0,0,0,100
18019,10000,0,1,0.046921,0.046931,0.046907,0.046951,0.046995,0.04693,0.013264,0.013268,0.013308,0.013618,0.013464,0.013327,0,0,0,0,0,0,50
18019,10000,1,0,0.082796,0.082793,0.08279,0.082815,0.082829,0.082766,0.012327,0.012511,0.012334,0.012335,0.012589,0.012367,0,0,0,0,0,0,100
18019,10000,1,0,0.047733,0.047749,0.047728,0.047775,0.04774,0.047743,0.01234,0.012324,0.012434,0.012315,0.012326,0.012337,0,0,0,0,0,0,50
18019,10000,1,1,0.082894,0.082878,0.082916,0.082937,0.082898,0.082934,0.009753,0.009784,0.009765,0.00982,0.009765,0.009721,0,0,0,0,0,0,100
18019,10000,1,1,0.046844,0.046858,0.046834,0.046858,0.046868,0.046865,0.009722,0.009808,0.009816,0.009744,0.009718,0.009728,0,0,0,0,0,0,50
