row,size,numberQueries,dataDistribution,compressedTimes,uncompressedTimes,y
275,130000,10000,2,10.3484,10.1507,False
276,130000,10000,0,9.88843,9.94099,True
277,130000,10000,1,3.47037,3.46829,False
278,130000,10000,2,9.91992,9.92074,True
279,130000,10000,0,9.87255,10.1731,True
280,130000,10000,1,3.48762,3.39662,False
281,130000,10000,2,9.89823,9.88355,False
282,130000,10000,0,9.74986,10.0035,True
283,130000,10000,1,3.47156,3.4443,False
284,130000,10000,2,9.82297,10.0021,True
285,130000,10000,0,9.86271,9.87658,True
286,130000,10000,1,3.47015,3.43175,False
287,130000,10000,2,9.95255,9.73934,False
288,130000,10000,0,9.9048,9.95167,True
289,130000,10000,1,3.4531,3.46653,True
290,130000,10000,2,10.0616,10.0196,False
291,130000,10000,0,9.84643,9.91137,True
292,130000,10000,1,3.44997,3.44985,False
293,130000,10000,2,9.94609,9.84346,False
294,130000,10000,0,9.87363,9.81902,False
295,130000,10000,1,3.39223,3.47483,True
296,130000,10000,2,9.85253,9.84046,False
297,130000,10000,0,9.89182,9.83513,False
298,130000,10000,1,3.43383,3.45116,True
299,130000,10000,2,9.83491,9.81075,False
300,130000,10000,0,10.1947,10.1766,False
301,130000,10000,1,3.41799,3.46181,True
302,130000,10000,2,10.0423,10.0344,False
303,130000,10000,0,9.92193,9.9546,True
304,130000,10000,1,3.50014,3.37569,False
305,130000,10000,2,10.0028,9.99239,False
306,130000,10000,0,9.86725,9.79333,False
307,130000,10000,1,3.44233,3.45814,True
308,130000,10000,2,9.97634,10.0861,True
309,130000,10000,0,10.0671,10.078,True
310,130000,10000,1,3.50465,3.4684,False
311,130000,10000,2,9.9231,10.1733,True
312,130000,10000,0,9.81734,9.98968,True
313,130000,10000,1,3.43301,3.39839,False
314,130000,10000,2,9.80276,10.0562,True
315,130000,10000,0,9.95312,9.93773,False
316,130000,10000,1,3.47996,3.40931,False
317,130000,10000,2,9.82407,9.90714,True
318,130000,10000,0,9.98895,9.84728,False
319,130000,10000,1,3.41451,3.36373,False
320,130000,10000,2,9.85279,9.94885,True
321,130000,10000,0,9.77879,9.89561,True
322,130000,10000,1,3.43361,3.41659,False
323,130000,10000,2,9.88293,9.903,True
324,130000,10000,0,9.86773,9.8845,True
325,130000,10000,1,3.44216,3.45103,True
326,130000,10000,2,10.0608,9.85684,False
327,130000,10000,0,9.77636,9.83139,True
328,130000,10000,1,3.43701,3.42632,False
329,130000,10000,2,9.84218,9.81325,False
330,130000,10000,0,10.0233,10.0078,False
331,130000,10000,1,3.4188,3.45863,True
332,130000,10000,2,9.89643,10.0016,True
333,130000,10000,0,9.89032,9.93979,True
334,130000,10000,1,3.45677,3.48225,True
335,130000,10000,2,9.92688,9.84611,False
336,130000,10000,0,9.92366,9.81789,False
337,130000,10000,1,3.38878,3.34704,False
338,130000,10000,2,9.86516,9.77125,False
339,130000,10000,0,9.77876,9.99658,True
340,130000,10000,1,3.713,3.71141,False
341,130000,10000,2,10.5568,10.6418,True
342,130000,10000,0,10.6202,10.5449,False
343,130000,10000,1,3.7205,3.67641,False
344,130000,10000,2,10.4622,10.3271,False
345,130000,10000,0,10.4405,10.3136,False
346,130000,10000,1,3.64264,3.6259,False
347,130000,10000,2,10.2403,10.2618,True
348,130000,10000,0,10.2785,10.377,True
349,130000,10000,1,3.5501,3.70515,True
350,130000,10000,2,10.5546,10.4222,False
351,130000,10000,0,10.5482,10.4268,False
352,130000,10000,1,3.64945,3.71584,True
353,130000,10000,2,10.6188,10.4845,False
354,130000,10000,0,10.4319,10.6917,True
355,130000,10000,1,3.6478,3.6654,True
356,130000,10000,2,10.4777,10.2715,False
357,130000,10000,0,10.2819,10.2831,True
358,130000,10000,1,3.5861,3.60813,True
359,130000,10000,2,10.3542,10.134,False
360,130000,10000,0,10.1682,10.2066,True
361,130000,10000,1,3.57441,3.59797,True
362,130000,10000,2,10.2041,10.255,True
363,160000,10000,0,33.8828,33.9504,True
364,160000,10000,1,3.676,3.61548,False
365,160000,10000,2,33.9085,33.8567,False
366,160000,10000,0,33.8735,33.9052,True
367,160000,10000,1,3.66881,3.59808,False
368,160000,10000,2,33.6577,33.8899,True
369,160000,10000,0,33.9856,33.7058,False
370,160000,10000,1,3.67374,3.73569,True
371,160000,10000,2,33.8341,33.7586,False
372,160000,10000,0,33.8226,33.9229,True
373,160000,10000,1,3.60091,3.59819,False
374,160000,10000,2,33.6358,33.4947,False
375,160000,10000,0,34.1647,34.0681,False
376,160000,10000,1,3.66749,3.65389,False
377,160000,10000,2,33.8155,33.6258,False
378,160000,10000,0,33.0951,33.5558,True
379,160000,10000,1,3.52263,3.61714,True
380,160000,10000,2,33.9901,33.7474,False
381,160000,10000,0,34.3204,34.2746,False
