,size,numberQueries,dataDistribution,snappy_times,simd_times,rle_times,uncompressed_times,snappy_sizes,simd_sizes,rle_sizes,uncompressed_sizes
39,46226,10000,0,0.493277,1.18408,0.888721,0.413206,262162,119560,262144,262144
40,46226,10000,1,0.489671,0.990097,0.945163,0.412393,262161,8748,16,262144
41,46226,10000,2,0.499244,1.18963,0.901257,0.418683,262162,111516,262144,262144
42,52004,10000,0,0.575409,1.53758,1.11102,0.468353,393243,179188,393216,393216
43,52004,10000,1,0.567108,1.23298,1.16932,0.464859,393240,13128,24,393216
44,52004,10000,2,0.570046,1.51658,1.10457,0.463701,393243,167268,393216,393216
45,58504,10000,0,0.568929,1.4152,1.04219,0.467324,393243,179044,393216,393216
46,58504,10000,1,0.562828,1.15621,1.10067,0.472654,393240,13128,24,393216
47,58504,10000,2,0.571465,1.3855,1.04492,0.472874,393243,167156,393216,393216
48,65817,10000,0,0.607192,1.59029,1.17542,0.485849,524324,238544,524288,524288
49,65817,10000,1,0.597141,1.30027,1.23781,0.483392,524321,17508,32,524288
50,65817,10000,2,0.610449,1.6215,1.18084,0.49764,524324,223296,524288,524288
51,74044,10000,0,0.616421,1.49284,1.12937,0.51085,524324,238624,524288,524288
52,74044,10000,1,0.613122,1.24126,1.18311,0.509045,524321,17508,32,524288
53,74044,10000,2,0.615244,1.54902,1.12426,0.510357,524324,223056,524288,524288
54,83299,10000,0,0.639059,1.67125,1.21558,0.524745,1179669,521112,1179648,1179648
55,83299,10000,1,0.628269,1.32474,1.26027,0.515841,1179669,39396,72,1179648
56,83299,10000,2,0.637125,1.65532,1.21157,0.521396,1179660,485048,1179648,1179648
57,93711,10000,0,0.663711,1.57365,1.17113,0.555359,1179667,521340,1179648,1179648
58,93711,10000,1,0.652749,1.27487,1.21388,0.554228,1179669,39396,72,1179648
59,93711,10000,2,0.663295,1.60154,1.17909,0.560305,1179669,485080,1179648,1179648
60,105424,10000,0,0.676515,1.66071,1.23183,0.560382,1310747,580908,1310720,1310720
61,105424,10000,1,0.663978,1.31457,1.25475,0.553931,1310750,43776,80,1310720
62,105424,10000,2,0.677194,1.67192,1.22927,0.566517,1310734,540972,1310720,1310720
63,118602,10000,0,0.691312,1.70494,1.28157,0.57176,1441830,640704,1441792,1441792
64,118602,10000,1,0.678863,1.36159,1.28974,0.56195,1441810,48156,88,1441792
65,118602,10000,2,0.691114,1.73851,1.27877,0.566634,1441831,596720,1441792,1441792
66,133427,10000,0,0.714675,1.76644,1.32243,0.595218,1572912,700416,1572864,1572864
67,133427,10000,1,0.693575,1.38362,1.31917,0.583884,1572910,52536,96,1572864
68,133427,10000,2,0.719483,1.79654,1.32484,0.59215,1572908,652456,1572864,1572864
69,150105,10000,0,0.75072,1.80964,1.36519,0.642168,2228255,983068,2228224,2228224
70,150105,10000,1,0.746814,1.44346,1.37377,0.631512,2228221,74436,136,2228224
71,150105,10000,2,0.751495,1.82614,1.36588,0.640893,2228257,914508,2228224,2228224
72,168868,10000,0,0.778283,1.80367,1.39392,0.66553,2359338,1042328,2359296,2359296
73,168868,10000,1,0.776757,1.46049,1.39189,0.65695,2359302,78816,144,2359296
74,168868,10000,2,0.784359,1.8628,1.40478,0.668216,2359322,970480,2359296,2359296
75,189976,10000,0,0.82728,1.86196,1.44459,0.718179,2490419,1102196,2490368,2490368
76,189976,10000,1,0.817356,1.48587,1.41831,0.706392,2490381,83196,152,2490368
77,189976,10000,2,0.83312,1.87558,1.44556,0.715922,2490411,1025796,2490368,2490368
78,213723,10000,0,0.855597,1.92606,1.49846,0.745076,3276860,1444316,3276800,3276800
79,213723,10000,1,0.856583,1.54374,1.47224,0.724652,3276849,109476,200,3276800
80,213723,10000,2,0.860606,1.94431,1.4928,0.733604,3276853,1344344,3276800,3276800
81,240438,10000,0,0.932567,1.97317,1.55439,0.815119,3407938,1504556,3407872,3407872
82,240438,10000,1,0.936011,1.58083,1.51718,0.804634,3407873,113856,208,3407872
83,240438,10000,2,0.937012,1.9964,1.56692,0.816111,3407941,1399612,3407872,3407872
84,270492,10000,0,0.961316,2.05912,1.61468,0.84137,3670098,1623592,3670016,3670016
85,270492,10000,1,0.957371,1.61766,1.54604,0.826506,3670033,122616,224,3670016
86,270492,10000,2,0.959222,2.05635,1.60627,0.845141,3670099,1511364,3670016,3670016
87,304303,10000,0,1.0423,2.07631,1.66805,0.915152,4456526,1965816,4456448,4456448
88,304303,10000,1,1.04151,1.69183,1.6131,0.898588,4456510,148896,272,4456448
89,304303,10000,2,1.0388,2.1145,1.6735,0.911943,4456544,1828896,4456448,4456448
90,342340,10000,0,1.11962,2.16673,1.75547,0.999848,4718705,2085248,4718592,4718592
91,342340,10000,1,1.10515,1.74983,1.66526,0.98019,4718670,157656,288,4718592
92,342340,10000,2,1.12975,2.20391,1.76503,1.00069,4718720,1940208,4718592,4718592
93,385132,10000,0,1.19727,2.2697,1.83676,1.07133,7733282,3311872,7733248,7733248
94,385132,10000,1,1.21723,1.83304,1.75206,1.05435,7733043,258384,472,7733248
95,385132,10000,2,1.20463,2.28192,1.84708,1.09019,7733260,3071736,7733248,7733248
96,433273,10000,0,1.24929,2.31902,1.889,1.13448,8650798,3713636,8650752,8650752
97,433273,10000,1,1.28096,1.89993,1.81146,1.10821,8650752,289044,528,8650752
98,433273,10000,2,1.26585,2.30782,1.89031,1.13166,8650718,3445408,8650752,8650752
99,487432,10000,0,1.37287,2.42792,1.98634,1.23569,9568281,4116840,9568256,9568256
100,487432,10000,1,1.39333,1.96888,1.91318,1.21988,9568294,319704,584,9568256
101,487432,10000,2,1.35151,2.41266,1.98883,1.2293,9568295,3820956,9568256,9568256
102,548361,10000,0,1.42718,2.49338,2.04663,1.29309,10616897,4577576,10616832,10616832
103,548361,10000,1,1.46653,2.02002,1.95098,1.26918,10616590,354744,648,10616832
104,548361,10000,2,1.41691,2.49407,2.07217,1.31123,10616848,4248420,10616832,10616832
105,616906,10000,0,1.68046,2.70766,2.25073,1.5178,13762257,5864796,13762560,13762560
106,616906,10000,1,1.71311,2.29,2.19342,1.51788,13762562,459864,840,13762560
107,616906,10000,2,1.67198,2.692,2.25182,1.52284,13762319,5435656,13762560,13762560
108,694019,10000,0,1.73204,2.78624,2.2985,1.58182,14942203,6386384,14942208,14942208
109,694019,10000,1,1.75209,2.30407,2.21593,1.54717,14942227,499284,912,14942208
110,694019,10000,2,1.78688,2.75997,2.27811,1.59124,14942138,5922592,14942208,14942208
111,780771,10000,0,1.87323,2.90888,2.43698,1.71961,16122079,6908672,16121856,16121856
112,780771,10000,1,1.88418,2.43398,2.35581,1.68161,16121444,538704,984,16121856
113,780771,10000,2,1.85339,2.93439,2.44397,1.71233,16121865,6408504,16121856,16121856
114,878367,10000,0,2.13099,3.16856,2.75015,2.03622,20053674,8535472,20054016,20054016
115,878367,10000,1,2.22132,2.72237,2.68283,1.97663,20053444,670104,1224,20054016
116,878367,10000,2,2.13414,3.20675,2.6911,1.98227,20053576,7914248,20054016,20054016
117,988162,10000,0,2.23808,3.34804,2.85158,2.07166,21495391,9176808,21495808,21495808
118,988162,10000,1,2.24208,2.78273,2.70163,2.0451,21495324,718284,1312,21495808
119,988162,10000,2,2.24216,3.35028,2.90697,2.06644,21495799,8509624,21495808,21495808
120,1111682,10000,0,2.42012,3.63169,3.05498,2.339,23462048,10038160,23461888,23461888
121,1111682,10000,1,2.55051,3.02866,2.93517,2.23826,23461826,783984,1432,23461888
122,1111682,10000,2,2.42964,3.55532,3.03805,2.27864,23461811,9314020,23461888,23461888
123,1250642,10000,0,2.8072,3.94935,3.34832,2.65253,27786861,11849836,27787264,27787264
124,1250642,10000,1,2.80266,3.39629,3.31849,2.5548,27786809,928524,1696,27787264
125,1250642,10000,2,2.9524,3.97371,3.36147,2.59061,27787106,10987928,27787264,27787264
126,1406972,10000,0,3.55117,4.68337,4.16156,3.44322,41024965,16916088,41025536,41025536
127,1406972,10000,1,3.80611,4.1279,4.08496,3.37834,41024343,1370892,2504,41025536
128,1406972,10000,2,3.55128,4.63785,4.24405,3.40336,41024170,15615456,41025536,41025536
129,1582843,10000,0,3.72787,4.95875,4.40143,3.50612,43514653,18016956,43515904,43515904
130,1582843,10000,1,3.88894,4.35262,4.24982,3.57692,43515167,1454112,2656,43515904
131,1582843,10000,2,3.70482,4.83554,4.36867,3.52603,43515216,16642252,43515904,43515904
132,1780698,10000,0,4.00751,5.11666,4.6225,3.7974,48757767,20227376,48758784,48758784
133,1780698,10000,1,4.26395,4.56689,4.44279,3.76148,48757823,1629312,2976,48758784
134,1780698,10000,2,4.11968,5.11314,4.64766,3.87269,48756321,18694244,48758784,48758784
135,2003285,10000,0,4.28403,5.40601,4.76835,4.04321,54787257,22780288,54788096,54788096
136,2003285,10000,1,4.65923,4.84445,4.81123,4.02477,54786897,1830792,3344,54788096
137,2003285,10000,2,4.367,5.41357,4.91637,4.12858,54786152,21054240,54788096,54788096
138,2253695,10000,0,4.94456,5.89952,5.27665,4.52886,60946744,25394740,60948480,60948480
139,2253695,10000,1,5.19114,5.29384,5.20548,4.58573,60947149,2036652,3720,60948480
140,2253695,10000,2,4.76909,5.93527,5.26562,4.53594,60946774,23475544,60948480,60948480
141,2535406,10000,0,7.23828,8.34249,7.77213,6.9513,75756749,31159752,75759616,75759616
142,2535406,10000,1,15.5612,7.79745,7.71557,6.84082,75756139,2531592,4624,75759616
143,2535406,10000,2,7.42714,8.13313,7.69604,7.01934,75757195,28762768,75759616,75759616
144,2852331,10000,0,7.37435,8.53716,7.83937,7.05335,83097262,34293536,83099648,83099648
145,2852331,10000,1,7.8966,7.98314,7.8622,7.04477,83097097,2776872,5072,83099648
146,2852331,10000,2,7.26994,8.36627,7.82749,7.02801,83095167,31666868,83099648,83099648
147,3208872,10000,0,7.85872,9.05575,8.24493,7.65485,90568465,37486620,90570752,90570752
148,3208872,10000,1,8.373,8.29945,8.15507,7.38604,90568094,3026532,5528,90570752
149,3208872,10000,2,7.72308,8.97702,8.27641,7.4904,90566011,34626884,90570752,90570752
